"","name","address","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"1","Bayonne - Outpatient Center","815 Broadway Bayonne, NJ 07002","8:00am to 6:30pm","8:00am to 6:30pm","8:00am to 6:30pm","8:00am to 6:30pm","8:00am to 3:30pm","Closed","Closed"
"2","Clifton - Outpatient Center","1135 Broad Street Clifton, NJ 07013","8:00 AM - 6:30PM","8:00 AM - 6:30PM","8:00 AM - 6:30PM","8:00 AM - 6:30PM","8:00 AM - 6:00 PM","Closed","Closed"
"3","East Brunswick - Outpatient Center","629 Cranbury Road East Brunswick, NJ 08816","11:30 am - 8:00 pm","11:30 am - 8:00 pm","11:30 am - 8:00 pm","11:30 am - 8:00 pm","9:00 am - 5:30 pm","",""
"4","Egg Harbor Township - Outpatient Center","6106 Black Horse Pike Egg Harbor Township, NJ 08234","Building C - Therapies: 8:00am - 6:00pm | Building D - ACC: 8:00am - 5:30pm","Building C - Therapies: 8:00am - 6:00pm | Building D - ACC: 8:00am - 5:30pm","Building C - Therapies: 8:00am - 6:00pm | Building D - ACC: 8:00am - 5:30pm","Building C - Therapies: 8:00am - 6:00pm | Building D - ACC: 8:00am - 5:30pm","Building C - Therapies: 8:00am - 12:00pm | Building D - Closed","Closed","Closed"
"5","Hamilton - Outpatient Center","3575 Quakerbridge Road Hamilton, NJ 08619","8:00 am - 7:30 pm","8:00 am - 7:30 pm","8:00 am - 7:30 pm","8:00 am - 7:30 pm","8:00 am - 5:00 pm","Closed","Closed"
"6","Jersey City - Outpatient Center","1825 John F Kennedy Boulevard Jersey City, NJ 07305","8:30am- 5:30pm","8:30am- 5:30pm","8:30am- 5:30pm","8:30am- 5:30pm","8:30am- 4:30pm","",""
"7","Mountainside - Long Term Care Center","150 New Providence Road Mountainside, NJ 07092","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 6:00 pm","Closed","Closed"
"8","Mountainside - Outpatient Center","150 New Providence Road Mountainside, NJ 07092","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 8:00 pm","7:30 am - 6:00 pm","Closed","Closed"
"9","New Brunswick – Inpatient Hospital – Somerset Street","200 Somerset Street New Brunswick, NJ 08901-1942","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm","1:00 pm - 8:30 pm"
"10","New Brunswick - Plum Street Outpatient Center","10 Plum Street - 6th Floor New Brunswick, NJ 08901","8:30 am - 6:30 pm","8:30 am - 6:30 pm","8:30 am - 6:30 pm","8:30 am - 6:30 pm","8:00 am - 5:00 pm","Closed","Closed"
"11","Newark - Outpatient Center","182 Lyons Ave Newark, NJ 07112","7:30 am - 7:00 pm","7:30 am - 7:00 pm","7:30 am - 7:00 pm","7:30 am - 7:00 pm","8:00 am - 5:00 pm","Closed","Closed"
"12","Toms River - Lakehurst Road - Outpatient Center","368 Lakehurst Road Toms River, NJ 08755","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 6:00 pm","Closed","Closed"
"13","Toms River - Stevens Road - Long Term Care","94 Stevens Road Toms River, NJ 08755","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 6:00 pm","Closed","Closed"
"14","Toms River - Stevens Road - Outpatient Center","94 Stevens Road Toms River, NJ 08755","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 8:00 pm","8:00 am – 6:00 pm","Closed","Closed"
"15","Warren - Outpatient Center","266 King George Road Warren, NJ 07059","8:00 am – 6:00 pm","8:00 am – 6:00 pm","8:00 am – 6:00 pm","8:00 am – 6:00 pm","Closed","Closed","Closed"
